SubID,StudyTrial,TestTrial,Run,Valence,SoundID,ObjID,SceneID,ColStudy,SceStudy,Ques1,Ques2,ColTest,SceneTest,ColReinstatement,SceneReinstatement,EmotionResponse,EmotionRT,EmotionCorrect,EmotionConfidence,ColResp,ColRT,SceneResp,SceneRT,ColError,SceError,ColAbsError,SceAbsError,onsetEncoding,onsetRemember,onsetEmotion,onsetColor,onsetScene,EmotionMemory,ColorCorrect,SceneCorrect,ColorQuality,SceneQuality,MemoryQuantity,MemoryQuality
16,55,64,3,Neutral,10,45,4,300,201,1,2,54,6,114,165,4,0.377882741,1,1,285,3.133847157,189,3.662907958,-15,-12,15,12,49.01559452,511.0057224,515.0056731,518.0055729,525.0054507,1,1,1,0.705882353,0.636363636,3,2.342245989
16,60,65,3,Negative,1,49,6,135,123,2,1,300,264,165,141,1,0.517174337,1,1,123,1.907310025,150,5.282222125,-12,27,12,27,84.01487558,532.5052983,536.5051812,546.5049663,539.5051196,1,1,1,0.764705882,0.181818182,3,1.946524064
16,54,66,3,Neutral,8,16,1,54,132,1,2,210,252,156,120,4,0.355312385,1,1,48,2.98358434,132,2.655697722,-6,0,6,0,42.01577382,554.0048426,558.0213963,561.0046561,568.0045241,1,1,1,0.882352941,1,3,2.882352941
16,61,67,3,Neutral,11,85,5,108,66,2,1,345,84,123,18,4,0.406121778,1,1,135,2.444122745,57,1.938978125,27,-9,27,9,91.01472741,575.5043538,579.5042912,589.5040496,582.5041988,1,1,1,0.470588235,0.727272727,3,2.197860963
16,63,68,3,Neutral,7,79,3,180,324,1,2,162,54,18,90,1,0.29836346,0,1,195,3.847662608,315,2.222848801,15,-9,15,9,105.0144301,597.0039143,601.0204758,604.0204416,611.0202952,0,1,1,0.705882353,0.727272727,2,1.43315508
16,68,69,3,Neutral,8,113,5,267,186,1,2,348,345,81,159,4,0.358113533,1,1,252,3.764066503,189,2.740173249,-15,3,15,3,140.0136427,618.5034552,622.5200199,625.5199788,632.5198002,1,1,1,0.705882353,0.909090909,3,2.614973262
16,49,70,3,Negative,5,119,6,204,234,1,2,129,333,75,99,1,0.323622042,1,1,216,2.703461645,195,2.87155244,12,-39,12,39,7.016486944,640.0029972,644.0195663,647.0195198,654.0193754,1,1,0,0.764705882,0,2,1.764705882
16,66,71,3,Negative,4,26,5,168,3,1,2,150,18,18,15,1,0.375690687,1,1,198,2.563861396,351,1.08500808,30,-12,30,12,126.0139743,661.5025296,665.5190994,668.5190648,675.5188828,1,1,1,0.411764706,0.636363636,3,2.048128342
16,57,72,3,Neutral,11,20,4,66,351,2,1,96,105,30,114,4,0.371782219,1,1,243,2.896380551,360,2.889238752,177,9,177,9,63.01532727,683.0187669,687.0186448,697.0184237,690.0186078,1,0,1,0,0.727272727,2,1.727272727
16,93,73,4,Negative,2,81,6,120,306,1,2,234,144,114,162,1,0.569013031,1,1,114,1.742107636,291,2.261208381,-6,-15,6,15,147.0136949,188.5128328,192.5127256,195.5126161,202.5124618,1,1,1,0.882352941,0.545454545,3,2.427807487
16,73,74,4,Negative,1,78,2,126,120,1,2,312,201,174,81,1,0.372839237,1,1,114,2.931532121,108,1.713622224,-12,-12,12,12,7.016729074,210.0123344,214.012217,217.0121568,224.0120076,1,1,1,0.764705882,0.636363636,3,2.401069519
16,82,75,4,Negative,2,56,3,330,18,1,2,153,342,177,36,1,0.329586716,1,1,357,4.646876466,51,1.525981563,27,33,27,33,70.01534424,231.5118856,235.5117686,238.5116974,245.5115793,1,1,0,0.470588235,0,2,1.470588235
16,91,76,4,Negative,4,104,6,309,351,2,1,285,210,24,141,1,0.390054356,1,1,261,2.610437928,282,4.907277517,-48,-69,48,69,133.0140104,253.0114481,257.011302,267.0110902,260.0112749,1,1,0,0.058823529,0,2,1.058823529
16,78,77,4,Neutral,11,116,2,360,291,1,2,267,228,93,63,4,0.418561668,1,1,9,3.935657536,285,1.700781632,9,-6,9,6,42.0159328,274.5109743,278.5108405,281.5107745,288.5106907,1,1,1,0.823529412,0.818181818,3,2.64171123
16,84,78,4,Negative,3,50,5,192,306,1,2,201,309,9,3,1,0.422756205,1,1,195,2.3080395,303,1.37920598,3,-3,3,3,84.0150527,296.0105074,300.0103825,303.0103493,310.0101967,1,1,1,0.941176471,0.909090909,3,2.85026738
16,85,79,4,Negative,5,142,2,258,174,2,1,159,192,99,18,1,0.335148976,1,1,228,4.952548603,168,4.704418744,-30,-6,30,6,91.01484533,317.5100463,321.5099888,331.509712,324.5099026,1,1,1,0.411764706,0.818181818,3,2.229946524
16,80,80,4,Neutral,7,64,5,315,147,2,1,126,255,171,108,1,0.326894041,0,1,333,3.068980352,138,2.692803184,18,-9,18,9,56.01564605,339.0095787,343.0094675,353.0092834,346.0094371,0,1,1,0.647058824,0.727272727,2,1.374331551
16,86,81,4,Negative,6,106,4,339,222,2,1,90,138,111,84,1,0.396094311,1,1,351,1.768358905,216,2.776220325,12,-6,12,6,98.01474541,360.5091306,364.5090061,374.5087884,367.5089681,1,1,1,0.764705882,0.818181818,3,2.582887701
16,96,82,4,Neutral,11,141,3,75,87,1,2,249,255,174,168,4,0.424585198,1,1,78,4.212596174,96,2.028725053,3,9,3,9,168.0132333,382.0086695,386.0085522,389.0085402,396.0083342,1,1,1,0.941176471,0.727272727,3,2.668449198
16,83,83,4,Negative,4,87,3,201,132,2,1,330,336,129,156,1,0.348884047,1,1,189,2.242118415,165,2.2969776,-12,33,12,33,77.01519197,403.5082026,407.508087,417.5079056,410.5080247,1,1,0,0.764705882,0,2,1.764705882
16,74,84,4,Negative,5,9,1,177,360,2,1,168,315,9,45,1,0.329104915,1,1,216,3.72649943,15,1.965366953,39,15,39,15,14.01653471,425.0077576,429.0076306,439.0074414,432.0075998,1,1,1,0.235294118,0.545454545,3,1.780748663
16,79,85,4,Neutral,10,11,2,204,54,2,1,201,9,3,45,4,0.397852471,1,1,219,4.345907356,54,3.648808458,15,0,15,0,49.01579353,446.5072938,450.507174,460.5069516,453.5071312,1,1,1,0.705882353,1,3,2.705882353
16,92,86,4,Neutral,10,90,1,90,111,2,1,336,285,114,174,4,0.561133818,1,1,45,3.214232173,213,3.287139704,-45,102,45,102,140.0138475,468.0068412,472.0067153,482.0065374,475.0066503,1,1,0,0.117647059,0,2,1.117647059
16,75,87,4,Neutral,12,132,1,258,222,1,2,207,75,51,147,2,0.400565335,0,0,228,3.370528786,330,3.419660433,-30,108,30,108,21.01636738,489.5063723,493.6563096,496.5062217,503.506066,0,1,0,0.411764706,0,1,0.411764706
16,89,88,4,Negative,3,94,4,51,96,1,2,21,9,30,87,1,0.346215668,1,1,48,4.215942085,84,2.469045299,-3,-12,3,12,119.014319,511.0059101,515.0057958,518.0057602,525.0056052,1,1,1,0.941176471,0.636363636,3,2.577540107
16,90,89,4,Neutral,12,39,5,249,210,1,2,159,96,90,114,-1,-1,0,-1,222,2.323396541,231,1.875449958,-27,21,27,21,126.0141425,532.5054624,536.5053341,539.5052663,546.5051407,0,1,1,0.470588235,0.363636364,2,0.834224599
16,94,90,4,Neutral,8,23,6,21,162,2,1,9,189,12,27,4,0.307289767,1,1,30,3.312806517,171,3.487694527,9,9,9,9,154.0135317,554.0049931,558.0048747,568.0046748,561.0048446,1,1,1,0.823529412,0.727272727,3,2.550802139
16,87,91,4,Neutral,8,12,3,264,327,2,1,243,267,21,60,4,0.399356728,1,1,243,0.508189858,315,2.98810943,-21,-12,21,12,105.0145764,575.5045049,579.5044433,589.5042028,582.5043533,1,1,1,0.588235294,0.636363636,3,2.22459893
16,95,92,4,Neutral,9,43,4,177,144,1,2,159,24,18,120,4,0.388016286,1,1,228,2.679802106,147,1.551968664,51,3,51,3,161.0133934,597.0040842,601.0039562,604.0205616,611.02041,1,0,1,0,0.909090909,2,1.909090909
